                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9654,                  6.426,                 1.6206,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.07075,                0.00325,                0.00325
                      1,                 1.9213,                 2.9934,                 1.6327,                0.85763,                0.00179,                0.00025,                  2e-05,                    nan,                    nan,                    nan,               0.040744,               0.006577,               0.006577
                      2,                 1.8532,                 2.8297,                 1.6028,                0.57823,                0.00304,                 0.0006,                0.00024,                 2.0748,                 424.85,                 2.7433,               0.010731,              0.0098975,              0.0098975
                      3,                 1.8068,                 2.6188,                 1.5535,                0.50062,                0.10331,                0.06552,                0.03193,                 1.9758,                 35.775,                 2.1471,               0.009971,               0.009971,               0.009971
                      4,                 1.7752,                 2.4653,                 1.5464,                0.55402,                0.09224,                0.06188,                0.02842,                 2.1135,                 3.8912,                 2.0408,               0.009971,               0.009971,               0.009971
                      5,                 1.7216,                 2.3445,                 1.5272,                0.61911,                0.24072,                0.18755,                0.09873,                 1.7803,                 3.4065,                 1.8027,              0.0099613,              0.0099613,              0.0099613
                      6,                 1.7059,                 2.3273,                 1.5355,                 0.6388,                 0.2204,                0.20604,                0.11103,                 1.6722,                 4.8992,                 1.7652,              0.0099517,              0.0099517,              0.0099517
                      7,                 1.6601,                 2.1429,                 1.4888,                0.49808,                0.24617,                0.21774,                0.11475,                 1.7865,                 2.7855,                 1.8135,               0.009942,               0.009942,               0.009942
                      8,                 1.6167,                 2.1435,                 1.4592,                0.59478,                0.18896,                0.14787,                0.08349,                 1.6014,                 9.0693,                 1.6843,              0.0099323,              0.0099323,              0.0099323
                      9,                 1.5908,                  2.114,                 1.4733,                0.57794,                0.31158,                0.28873,                0.16088,                 1.5336,                 2.1102,                 1.5698,              0.0099227,              0.0099227,              0.0099227
